Date,Name,Year,Letterboxd URI,Rating
2023-01-22,Parasite,2019,https://boxd.it/hTha,4.5
2023-01-22,The Batman,2022,https://boxd.it/eDGs,4
2023-01-22,Fight Club,1999,https://boxd.it/2a9q,5
2023-01-22,Interstellar,2014,https://boxd.it/4VZ8,5
2023-01-22,Joker,2019,https://boxd.it/h4cS,4.5
2023-01-22,The Truman Show,1998,https://boxd.it/18U8,4.5
2023-01-22,Avatar,2009,https://boxd.it/1Efm,4
2023-01-22,Inception,2010,https://boxd.it/1skk,5
2023-01-22,The Dark Knight,2008,https://boxd.it/2b0k,5
2023-01-22,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4
2023-01-22,Forrest Gump,1994,https://boxd.it/728,4
2023-01-22,Dune,2021,https://boxd.it/fA7G,4
2023-01-22,Inglourious Basterds,2009,https://boxd.it/1JzG,5
2023-01-22,Shutter Island,2010,https://boxd.it/1U82,5
2023-01-22,Titanic,1997,https://boxd.it/2a2k,4
2023-01-22,The Revenant,2015,https://boxd.it/8H5e,4
2023-01-22,The Departed,2006,https://boxd.it/28MA,5
2023-01-22,Ratatouille,2007,https://boxd.it/27ww,4
2023-01-22,Kill Bill: Vol. 1,2003,https://boxd.it/70w,4.5
2023-01-22,Her,2013,https://boxd.it/4O24,4
2023-01-22,"I, Tonya",2017,https://boxd.it/dzR0,4
2023-01-22,Baby Driver,2017,https://boxd.it/bhF2,4
2023-01-22,Avengers: Endgame,2019,https://boxd.it/9vE4,4
2023-01-22,Avengers: Infinity War,2018,https://boxd.it/9vEe,4.5
2023-01-22,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,3.5
2023-01-22,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,4.5
2023-01-22,Up,2009,https://boxd.it/1OEc,4
2023-01-22,The Northman,2022,https://boxd.it/nK2s,4
2023-01-22,WALL·E,2008,https://boxd.it/1VEo,4
2023-01-22,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,5
2023-01-22,Shrek 2,2004,https://boxd.it/29z8,4.5
2023-01-22,Deadpool,2016,https://boxd.it/9fOC,4
2023-01-22,Back to the Future,1985,https://boxd.it/2b8e,4.5
2023-01-22,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,4
2023-01-22,Zoolander,2001,https://boxd.it/1YMA,4
2023-01-22,Spider-Man: Homecoming,2017,https://boxd.it/aboM,4
2023-01-22,Spider-Man: Far From Home,2019,https://boxd.it/fegG,4
2023-01-22,Tenet,2020,https://boxd.it/leq4,4
2023-01-22,The Avengers,2012,https://boxd.it/1xFW,4
2023-01-22,The Hunger Games,2012,https://boxd.it/2uds,4
2023-01-22,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,4.5
2023-01-22,Captain America: Civil War,2016,https://boxd.it/89Ja,3.5
2023-01-22,Doctor Strange,2016,https://boxd.it/8MH8,3.5
2023-01-22,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,4
2023-01-22,Tangled,2010,https://boxd.it/15gO,4
2023-01-22,Léon: The Professional,1994,https://boxd.it/2b8S,5
2023-01-22,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,3.5
2023-01-22,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,4
2023-01-22,Suicide Squad,2016,https://boxd.it/9row,3
2023-01-22,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,4
2023-01-22,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,3.5
2023-01-22,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,4
2023-01-22,Home Alone,1990,https://boxd.it/29Fg,4
2023-01-22,Kung Fu Panda,2008,https://boxd.it/1Yws,4
2023-01-22,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,4
2023-01-22,Twilight,2008,https://boxd.it/1Zui,3.5
2023-01-22,Ant-Man,2015,https://boxd.it/3vmW,3
2023-01-22,The Martian,2015,https://boxd.it/8SeG,4
2023-01-22,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,3.5
2023-01-22,How to Train Your Dragon,2010,https://boxd.it/1WRy,4
2023-01-22,Edward Scissorhands,1990,https://boxd.it/2aZc,4
2023-01-22,Toy Story 3,2010,https://boxd.it/1WRe,3.5
2023-01-22,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,4
2023-01-22,Logan,2017,https://boxd.it/7Piy,4.5
2023-01-22,American Beauty,1999,https://boxd.it/71Y,4
2023-01-22,The Big Lebowski,1998,https://boxd.it/2b6C,4
2023-01-22,Captain America: The First Avenger,2011,https://boxd.it/28b0,4
2023-01-22,This Is the End,2013,https://boxd.it/3GB4,3.5
2023-01-22,Night at the Museum: Battle of the Smithsonian,2009,https://boxd.it/1H7U,4
2023-01-22,A Clockwork Orange,1971,https://boxd.it/2aVE,4
2023-01-22,Deadpool 2,2018,https://boxd.it/dlLM,3.5
2023-01-22,Zombieland,2009,https://boxd.it/1En6,4
2023-01-22,Zombieland: Double Tap,2019,https://boxd.it/bgb6,4
2023-01-22,Back to the Future Part II,1989,https://boxd.it/2aYI,4
2023-01-22,Little Women,2019,https://boxd.it/aSVk,4
2023-01-22,Annette,2021,https://boxd.it/f0RS,3
2023-01-22,Hugo,2011,https://boxd.it/R08,4
2023-01-22,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2023-01-22,Charlie and the Chocolate Factory,2005,https://boxd.it/2b68,4
2023-01-22,Alice in Wonderland,2010,https://boxd.it/1Spq,4.5
2023-01-22,Cars,2006,https://boxd.it/29ho,4
2023-01-22,The Internship,2013,https://boxd.it/3SWS,3
2023-02-17,Don't Worry Darling,2022,https://boxd.it/mViu,4
2023-02-17,School of Rock,2003,https://boxd.it/28xK,4
2023-02-17,The Butterfly Effect,2004,https://boxd.it/27M0,4.5
2023-02-17,Full Metal Jacket,1987,https://boxd.it/2a1Q,4.5
2023-02-20,The Little Marchioness,2022,https://boxd.it/DwqM,5
2023-02-23,Cinema Paradiso,1988,https://boxd.it/1UlA,5
2023-03-18,The Whale,2022,https://boxd.it/tw4c,4
2023-03-22,Citizenfour,2014,https://boxd.it/9eSe,4.5
2023-03-22,Stuart Little,1999,https://boxd.it/1WZW,3
2023-03-29,The Prestige,2006,https://boxd.it/293w,4.5
2023-04-03,All the Beauty and the Bloodshed,2022,https://boxd.it/BYjU,4.5
2023-04-05,The Beasts,2022,https://boxd.it/w1L6,4.5
